Month of Selection,Year of Selection,Book Title,Author Name,Publication date,Genre,Adaptation?,Goodreads Summary,# of pages,,
June,2017,Eleanor Oliphant is Completely Fine,Gail Honeyman,2017,Literary Fiction,Planned,"No one’s ever told Eleanor that life should be better than fine.

Meet Eleanor Oliphant: She struggles with appropriate social skills and tends to say exactly what she’s thinking. Nothing is missing in her carefully timetabled life of avoiding social interactions, where weekends are punctuated by frozen pizza, vodka, and phone chats with Mummy.",390,,
July,2017,The Alice Network,Kate Quinn,2017,Historical Fiction,No,"In an enthralling new historical novel from national bestselling author Kate Quinn, two women—a female spy recruited to the real-life Alice Network in France during World War I and an unconventional American socialite searching for her cousin in 1947—are brought together in a mesmerizing story of courage and redemption. 

1947. In the chaotic aftermath of World War II, American college girl Charlie St. Clair is pregnant, unmarried, and on the verge of being thrown out of her very proper family. She's also nursing a desperate hope that her beloved cousin Rose, who disappeared in Nazi-occupied France during the war, might still be alive. So when Charlie's parents banish her to Europe to have her ""little problem"" taken care of, Charlie breaks free and heads to London, determined to find out what happened to the cousin she loves like a sister.

1915. A year into the Great War, Eve Gardiner burns to join the fight against the Germans and unexpectedly gets her chance when she's recruited to work as a spy. Sent into enemy-occupied France, she's trained by the mesmerizing Lili, code name Alice, the ""queen of spies"", who manages a vast network of secret agents right under the enemy's nose. 

Thirty years later, haunted by the betrayal that ultimately tore apart the Alice Network, Eve spends her days drunk and secluded in her crumbling London house. Until a young American barges in uttering a name Eve hasn't heard in decades, and launches them both on a mission to find the truth...no matter where it leads.",503,,
August,2017,The Lying Game,Ruth Ware,2017,Thriller,No,"From the instant New York Times bestselling author of blockbuster thrillers In a Dark, Dark Wood and The Woman in Cabin 10 comes Ruth Ware’s chilling new novel.

On a cool June morning, a woman is walking her dog in the idyllic coastal village of Salten along a tidal estuary known as the Reach. Before she can stop him, the dog charges into the water to retrieve what first appears to be a wayward stick, but to her horror, turns out to be something much more sinister...

The next morning, three women in and around London—Fatima, Thea, and Isabel—receive the text they had always hoped would NEVER come, from the fourth in their formerly inseparable clique, Kate, that says only, “I need you.”

The four girls were best friends at Salten, a second rate boarding school set near the cliffs of the English Channel. Each different in their own way, the four became inseparable and were notorious for playing the Lying Game, telling lies at every turn to both fellow boarders and faculty, with varying states of serious and flippant nature that were disturbing enough to ensure that everyone steered clear of them. The myriad and complicated rules of the game are strict: no lying to each other—ever. Bail on the lie when it becomes clear it is about to be found out. But their little game had consequences, and the girls were all expelled in their final year of school under mysterious circumstances surrounding the death of the school’s eccentric art teacher, Ambrose (who also happens to be Kate’s father).",370,,
September,2017,Little Fires Everywhere,Celeste Ng,2017,Literary Fiction,Yes,"Everyone in Shaker Heights was talking about it that summer: how Isabelle, the last of the Richardson children, had finally gone around the bend and burned the house down.

In Shaker Heights, a placid, progressive suburb of Cleveland, everything is meticulously planned - from the layout of the winding roads, to the colours of the houses, to the successful lives its residents will go on to lead. And no one embodies this spirit more than Elena Richardson, whose guiding principle is playing by the rules.

Enter Mia Warren - an enigmatic artist and single mother- who arrives in this idyllic bubble with her teenage daughter Pearl, and rents a house from the Richardsons. Soon Mia and Pearl become more than just tenants: all four Richardson children are drawn to the mother-daughter pair. But Mia carries with her a mysterious past, and a disregard for the rules that threatens to upend this carefully ordered community.

When old family friends attempt to adopt a Chinese-American baby, a custody battle erupts that dramatically divides the town - and puts Mia and Elena on opposing sides. Suspicious of Mia and her motives, Elena is determined to uncover the secrets in Mia's past. But her obsession will come at an unexpected and devastating cost . . .",338,,
October,2017,The Rules of Magic,Alice Hoffman,2017,Fantasy,No,"Find your magic

For the Owens family, love is a curse that began in 1620, when Maria Owens was charged with witchery for loving the wrong man.

Hundreds of years later, in New York City at the cusp of the sixties, when the whole world is about to change, Susanna Owens knows that her three children are dangerously unique. Difficult Franny, with skin as pale as milk and blood red hair, shy and beautiful Jet, who can read other people’s thoughts, and charismatic Vincent, who began looking for trouble on the day he could walk.

From the start Susanna sets down rules for her children: No walking in the moonlight, no red shoes, no wearing black, no cats, no crows, no candles, no books about magic. And most importantly, never, ever, fall in love. But when her children visit their Aunt Isabelle, in the small Massachusetts town where the Owens family has been blamed for everything that has ever gone wrong, they uncover family secrets and begin to understand the truth of who they are. Back in New York City each begins a risky journey as they try to escape the family curse.

The Owens children cannot escape love even if they try, just as they cannot escape the pains of the human heart. The two beautiful sisters will grow up to be the revered, and sometimes feared, aunts in Practical Magic, while Vincent, their beloved brother, will leave an unexpected legacy.",369,,
November,2017,This Is the Story of a Happy Marriage,Ann Patchett,2013,Memoir,No,"Blending literature and memoir, Ann Patchett, author of State of  Wonder, Run, and Bel Canto, examines her deepest commitments — to writing, family, friends, dogs, books, and her husband — creating a resonant portrait of a life in This is the Story of a Happy Marriage.

This Is the Story of a Happy Marriage takes us into the very real world of Ann Patchett’s life. Stretching from her childhood to the present day, from a disastrous early marriage to a later happy one, it covers a multitude of topics, including relationships with family and friends, and charts the hard work and joy of writing, and the unexpected thrill of opening a bookstore.

As she shares stories of the people, places, ideals, and art to which she has remained indelibly committed, Ann Patchett brings into focus the large experiences and small moments that have shaped her as a daughter, wife, and writer.",308,,
December,2017,The Last Mrs. Parrish,Liv Constantine,2017,Thriller,No,"Amber Patterson is fed up. She’s tired of being a nobody: a plain, invisible woman who blends into the background. She deserves more—a life of money and power like the one blond-haired, blue-eyed goddess Daphne Parrish takes for granted.

To everyone in the exclusive town of Bishops Harbor, Connecticut, Daphne—a socialite and philanthropist—and her real-estate mogul husband, Jackson, are a couple straight out of a fairy tale.

Amber’s envy could eat her alive . . . if she didn't have a plan. Amber uses Daphne’s compassion and caring to insinuate herself into the family’s life—the first step in a meticulous scheme to undermine her. Before long, Amber is Daphne’s closest confidante, traveling to Europe with the Parrishes and their lovely young daughters, and growing closer to Jackson. But a skeleton from her past may undermine everything that Amber has worked towards, and if it is discovered, her well-laid plan may fall to pieces. 

With shocking turns and dark secrets that will keep you guessing until the very end, The Last Mrs. Parrish is a fresh, juicy, and utterly addictive thriller from a diabolically imaginative talent.",560,,
January,2018,Braving the Wilderness,Brené Brown,2017,Self-Help,No,"#1 NEW YORK TIMES BESTSELLER - A timely and important book that challenges everything we think we know about cultivating true belonging in our communities, organizations, and culture, from the #1 bestselling author of Rising Strong, Daring Greatly, and The Gifts of Imperfection

REESE’S BOOK CLUB PICK

""True belonging doesn't require us to change who we are. It requires us to be who we are."" Social scientist Brené Brown, PhD, LMSW, has sparked a global conversation about the experiences that bring meaning to our lives--experiences of courage, vulnerability, love, belonging, shame, and empathy. In Braving the Wilderness, Brown redefines what it means to truly belong in an age of increased polarization. With her trademark mix of research, storytelling, and honesty, Brown will again change the cultural conversation while mapping a clear path to true belonging.

Brown argues that we're experiencing a spiritual crisis of disconnection, and introduces four practices of true belonging that challenge everything we believe about ourselves and each other. She writes, ""True belonging requires us to believe in and belong to ourselves so fully that we can find sacredness both in being a part of something and in standing alone when necessary. But in a culture that's rife with perfectionism and pleasing, and with the erosion of civility, it's easy to stay quiet, hide in our ideological bunkers, or fit in rather than show up as our true selves and brave the wilderness of uncertainty and criticism. But true belonging is not something we negotiate or accomplish with others; it's a daily practice that demands integrity and authenticity. It's a personal commitment that we carry in our hearts."" Brown offers us the clarity and courage we need to find our way back to ourselves and to each other. And that path cuts right through the wilderness. Brown writes, ""The wilderness is an untamed, unpredictable place of solitude and searching. It is a place as dangerous as it is breathtaking, a place as sought after as it is feared. But it turns out to be the place of true belonging, and it's the bravest and most sacred place you will ever stand.""",197,,
February,2018,The Light We Lost,Jill Santopolo,2017,Romance,No,"He was the first person to inspire her, to move her, to truly understand her. Was he meant to be the last?

Lucy is faced with a life-altering choice. But before she can make her decision, she must start her story—their story—at the very beginning.

Lucy and Gabe meet as seniors at Columbia University on a day that changes both of their lives forever. Together, they decide they want their lives to mean something, to matter. When they meet again a year later, it seems fated—perhaps they’ll find life’s meaning in each other. But then Gabe becomes a photojournalist assigned to the Middle East and Lucy pursues a career in New York. What follows is a thirteen-year journey of dreams, desires, jealousies, betrayals, and, ultimately, of love. Was it fate that brought them together? Is it choice that has kept them away? Their journey takes Lucy and Gabe continents apart, but never out of each other’s hearts.",328,,
March,2018,Erotic Stories For Punjabi Widows,Balli Kaur Jaswal,2017,Romance,No,"A lively, sexy, and thought-provoking East-meets-West story about community, friendship, and women’s lives at all ages—a spicy and alluring mix of Together Tea and Calendar Girls.

Every woman has a secret life . . .

Nikki lives in cosmopolitan West London, where she tends bar at the local pub. The daughter of Indian immigrants, she’s spent most of her twenty-odd years distancing herself from the traditional Sikh community of her childhood, preferring a more independent (that is, Western) life. When her father’s death leaves the family financially strapped, Nikki, a law school dropout, impulsively takes a job teaching a ""creative writing"" course at the community center in the beating heart of London’s close-knit Punjabi community.

Because of a miscommunication, the proper Sikh widows who show up are expecting to learn basic English literacy, not the art of short-story writing. When one of the widows finds a book of sexy stories in English and shares it with the class, Nikki realizes that beneath their white dupattas, her students have a wealth of fantasies and memories. Eager to liberate these modest women, she teaches them how to express their untold stories, unleashing creativity of the most unexpected—and exciting—kind.

As more women are drawn to the class, Nikki warns her students to keep their work secret from the Brotherhood, a group of highly conservative young men who have appointed themselves the community’s ""moral police."" But when the widows’ gossip offers shocking insights into the death of a young wife—a modern woman like Nikki—and some of the class erotica is shared among friends, it sparks a scandal that threatens them all.",304,,
April,2018,Happiness,Heather Harpham,2017,Memoir,No,"A shirt-grabbing, page-turning love story that follows a one-of-a-kind family through twists of fate that require nearly unimaginable choices.

Happiness begins with a charming courtship between hopelessly attracted opposites: Heather, a world-roaming California girl, and Brian, an intellectual, homebody writer, kind and slyly funny, but loath to leave his Upper West Side studio. Their magical interlude ends, full stop, when Heather becomes pregnant - Brian is sure he loves her, only he doesn't want kids. Heather returns to California to deliver their daughter alone, buoyed by family and friends. Mere hours after Gracie's arrival, Heather's bliss is interrupted when a nurse wakes her, ""Get dressed, your baby is in trouble."" 

This is not how Heather had imagined new motherhood – alone, heartsick, an unexpectedly solo caretaker of a baby who smelled ""like sliced apples and salted pretzels"" but might be perilously ill. Brian reappears as Gracie's condition grows dire; together Heather and Brian have to decide what they are willing to risk to ensure their girl sees adulthood. 

The grace and humor that ripple through Harpham's writing transform the dross of heartbreak and parental fears into a clear-eyed, warm-hearted view of the world. Profoundly moving and subtly written, Happiness radiates in many directions - new, romantic love; gratitude for a beautiful, inscrutable world; deep, abiding friendship; the passion a parent has for a child; and the many unlikely ways to build a family. Ultimately it's a story about love and happiness, in their many crooked configurations.",318,,
May,2018,"You Think It, I’ll Say It",Curtis Sittenfeld,2017,Short Stories,No,"A suburban mother of two fantasizes about the downfall of an old friend whose wholesome lifestyle empire may or may not be built on a lie. A high-powered lawyer honeymooning with her husband is caught off guard by the appearance of the girl who tormented her in high school. A shy Ivy League student learns the truth about a classmate’s seemingly enviable life.

Curtis Sittenfeld has established a reputation as a sharp chronicler of the modern age who humanizes her subjects even as she skewers them. Now, with this first collection of short fiction, her “astonishing gift for creating characters that take up residence in readers’ heads” (The Washington Post) is showcased like never before. Throughout the ten stories in You Think It, I’ll Say It, Sittenfeld upends assumptions about class, relationships, and gender roles in a nation that feels both adrift and viscerally divided.

With moving insight and uncanny precision, Curtis Sittenfeld pinpoints the questionable decisions, missed connections, and sometimes extraordinary coincidences that make up a life. Indeed, she writes what we’re all thinking—if only we could express it with the wit of a master satirist, the storytelling gifts of an old-fashioned raconteur, and the vision of an American original.",256,,
June,2018,Something in the Water,Catherine Steadman,2018,Thriller,No,"If you could make one simple choice that would change your life forever, would you?

Erin is a documentary filmmaker on the brink of a professional breakthrough, Mark a handsome investment banker with big plans. Passionately in love, they embark on a dream honeymoon to the tropical island of Bora Bora, where they enjoy the sun, the sand, and each other. Then, while scuba diving in the crystal blue sea, they find something in the water. . . .

Could the life of your dreams be the stuff of nightmares?

Suddenly the newlyweds must make a dangerous choice: to speak out or to protect their secret. After all, if no one else knows, who would be hurt? Their decision will trigger a devastating chain of events. . . .

Have you ever wondered how long it takes to dig a grave?

Wonder no longer. Catherine Steadman's enthralling voice shines throughout this spellbinding debut novel. With piercing insight and fascinating twists, Something in the Water challenges the reader to confront the hopes we desperately cling to, the ideals we're tempted to abandon, and the perfect lies we tell ourselves.",342,,
July,2018,Next Year in Havana,Chanel Cleeton,2018,Historical Fiction,No,"After the death of her beloved grandmother, a Cuban-American woman travels to Havana, where she discovers the roots of her identity--and unearths a family secret hidden since the revolution...

Havana, 1958. The daughter of a sugar baron, nineteen-year-old Elisa Perez is part of Cuba's high society, where she is largely sheltered from the country's growing political unrest--until she embarks on a clandestine affair with a passionate revolutionary...

Miami, 2017. Freelance writer Marisol Ferrera grew up hearing romantic stories of Cuba from her late grandmother Elisa, who was forced to flee with her family during the revolution. Elisa's last wish was for Marisol to scatter her ashes in the country of her birth. 

Arriving in Havana, Marisol comes face-to-face with the contrast of Cuba's tropical, timeless beauty and its perilous political climate. When more family history comes to light and Marisol finds herself attracted to a man with secrets of his own, she'll need the lessons of her grandmother's past to help her understand the true meaning of courage.",356,,
